대단원,중단원,문제,①,②,③,④,⑤,정답,문항 형식,Main/Sub,동아,미래엔,비상,지학사,천재,출제 수준,선지 개수,학습 개념 해설
과학의 기초,시간과 공간,"자연 현상을 탐구하는 과학은 아주 작은 기본 단위인 ( ㉠ )에서부터 가장 큰 ( ㉡ )까지, 모든 규모에서 일어나는 현상을 다룬다.
㉠과 ㉡으로 가장 적절한 것은?","㉠ 원자, ㉡ 지구","㉠ 원자, ㉡ 우주","㉠ 분자, ㉡ 지구"," ㉠ 분자, ㉡ 우주",,②,단답형,MAIN,TRUE,TRUE,TRUE,FALSE,FALSE,개념 변형,4,과학에서는 공간은 적혈구의 지름과 같은 매우 작은 크기부터 지구의 지름과 같은 매우 큰 크기까지의 규모로 다룬다.
과학의 기초,시간과 공간,자연 현상을 탐구하는 과학은 적혈구의 지름과 같은 매우 작은 크기부터 지구의 지름과 같이 매우 큰 크기까지의 규모를 다룬다. (O / X),O,X,,,,①,OX형,MAIN,TRUE,TRUE,TRUE,FALSE,FALSE,개념 호출,2,과학에서는 공간은 적혈구의 지름과 같은 매우 작은 크기부터 지구의 지름과 같은 매우 큰 크기까지의 규모로 다룬다.
과학의 기초,시간과 공간,"자연 세계는 원자 중 가장 작은 ( ㉠ )부터 매우 큰 규모인 태양계까지 다양한 범위에 걸쳐 있다.
㉠으로 적절한 것은?",수소,헬륨,리튬,탄소,,①,단답형,MAIN,TRUE,TRUE,TRUE,FALSE,FALSE,개념 변형,4,과학에서는 공간은 적혈구의 지름과 같은 매우 작은 크기부터 지구의 지름과 같은 매우 큰 크기까지의 규모로 다룬다.
과학의 기초,시간과 공간,"과학에서는 번개가 번쩍이는 순간과 같은 매우 짧은 시간부터 우주의 나이와 같은 매우 긴 시간까지의 ( ㉠ )을/를 다룬다.
㉠으로 적절한 것은?",질량,방향,규모,형태,,③,단답형,MAIN,TRUE,TRUE,FALSE,TRUE,FALSE,개념 호출,4,과학에서 시간은 번개가 번쩍이는 순간과 같은 매우 짧은 시간부터 우주의 나이와 같은 매우 긴 시간까지의 규모로 다룬다.
과학의 기초,시간과 공간,"과학에서는 우주 초기 입자들이 생성되는 것과 같은 매우 짧은 시간부터 별이 새로 생겨나는 것과 같은 매우 긴 시간까지의 ( ㉠ )을/를 다룬다.
㉠으로 적절한 것은?",질량,방향,규모,형태,,③,단답형,MAIN,TRUE,TRUE,FALSE,TRUE,FALSE,개념 적용,4,과학에서 시간은 번개가 번쩍이는 순간과 같은 매우 짧은 시간부터 우주의 나이와 같은 매우 긴 시간까지의 규모로 다룬다.
,,,,,,,,,,,,,,,,,0,#REF!
과학의 기초,시간과 공간,다음 중 미시세계로 적절하지 않은 것은?,원자,이온,나무,세포,분자,③,단답형,MAIN,TRUE,FALSE,TRUE,TRUE,TRUE,개념 적용,5,자연 세계는 원자 수준의 아주 작은 규모를 나타내는 미시 세계와 그보다 훨씬 큰 규모를 나타내는 거시 세계로 구분할 수 있다.
과학의 기초,시간과 공간,다음 중 거시세계로 적절하지 않은 것은?,태풍,우주,바이러스,,,③,단답형,MAIN,TRUE,FALSE,TRUE,TRUE,TRUE,개념 적용,3,자연 세계는 원자 수준의 아주 작은 규모를 나타내는 미시 세계와 그보다 훨씬 큰 규모를 나타내는 거시 세계로 구분할 수 있다.
과학의 기초,시간과 공간,"미시세계 물체는 아주 ( ㉠ ) 규모로 설명할 수 있기 때문에 일상생활에서 사용하는 시공간보다 규모가 매우 ( ㉡ ).
㉠과 ㉡으로 적절한 것은?","㉠ 큰, ㉡ 작다.","㉠ 큰, ㉡ 크다.","㉠ 작은, ㉡ 작다.","㉠ 작은, ㉡ 크다.",,③,단답형,MAIN,TRUE,FALSE,TRUE,TRUE,TRUE,개념 변형,4,자연 세계는 원자 수준의 아주 작은 규모를 나타내는 미시 세계와 그보다 훨씬 큰 규모를 나타내는 거시 세계로 구분할 수 있다.
과학의 기초,시간과 공간,다음 중 미시세계와 거시세계에 대한 설명으로 적절하지 않은 것은?,미시세계에서 일어나는 자연 현상의 규모가 작다.,거시 세계에서 일어나는 자연 현상의 규모가 크다.,미시세계와 거시세계에서 일어나는 자연 현상 특성은 각각 다르다.,미시세계와 거시세계의 자연 현상 탐구 방법은 같다.,,④,서술형,MAIN,TRUE,TRUE,TRUE,FALSE,FALSE,개념 호출,4,미시 세계에서 일어나는 자연 현상과 거시 세계에서 일어나는 자연 현상은 규모가 다르기 때문에 그 특성과 탐구 방법이 다르다.
과학의 기초,시간과 공간,"자연현상을 탐구할 때 측정 대상의 ( ㉠ )을/를 고려해 적절한 방법으로 ( ㉡ )을/를 측정해야 한다.
㉠과 ㉡으로 적절한 것은?","㉠ 규모, ㉡ 시간","㉠ 규모, ㉡ 기능","㉠ 원인, ㉡ 시간","㉠ 원인, ㉡ 기능",,①,단답형,MAIN,TRUE,TRUE,TRUE,FALSE,FALSE,개념 변형,4,미시 세계에서 일어나는 자연 현상과 거시 세계에서 일어나는 자연 현상은 규모가 다르기 때문에 그 특성과 탐구 방법이 다르다.
과학의 기초,시간과 공간,"( ㉠ )세계는 시간 규모로 ( ㉡ )초 이하, 공간 규모로 ( ㉡ )미터 이하 단위를 사용한다.
㉠과 ㉡으로 적절한 것은?","㉠ 거시, ㉡ 나노","㉠ 거시, ㉡ 밀리","㉠ 미시, ㉡ 나노","㉠ 미시, ㉡ 밀리",,③,단답형,SUB,FALSE,FALSE,TRUE,FALSE,FALSE,개념 호출,4,"수소 원자, 물 분자, 나트륨 이온과 같은 미시 세계는 시간 규모로 나노초 이하 단위를 사용하고, 공간 규모로 나노미터 이하 단위를 사용한다."
과학의 기초,시간과 공간,"수소 원자, 물 분자, 나트륨 이온 등은 시간 규모로 나노초 이하 단위를, 공간 규모로 나노미터 이하 단위를 사용한다. (O / X)",O,X,,,,①,OX형,SUB,FALSE,FALSE,TRUE,FALSE,FALSE,개념 호출,2,"수소 원자, 물 분자, 나트륨 이온과 같은 미시 세계는 시간 규모로 나노초 이하 단위를 사용하고, 공간 규모로 나노미터 이하 단위를 사용한다."
과학의 기초,시간과 공간,"( ㉠ )세계는 시간 규모로 (  ㉡ ) 등의 단위를 사용하고 공간 규모로 미터, 천문단위 등을 사용한다.
㉠과 ㉡으로 적절한 것은?","㉠ 거시, ㉡ 나노","㉠ 거시, ㉡ 초, 분","㉠ 미시, ㉡ 나노","㉠ 미시, ㉡ 초, 분",,②,단답형,SUB,FALSE,FALSE,TRUE,FALSE,FALSE,개념 호출,4,"나무, 암석, 천체와 같은 거시 세계는 시간 규모로 초, 분 등의 단위를 사용하고, 공간 규모로 미터, 천문단위 등의 단위를 사용한다."
과학의 기초,시간과 공간,"나무, 암석, 천체 등은 시간 규모로 초, 분 등의 단위를, 공간 규모로 미터, 천문단위 등의 단위를 사용한다. (O / X)",O,X,,,,①,OX형,SUB,FALSE,FALSE,TRUE,FALSE,FALSE,개념 호출,2,"나무, 암석, 천체와 같은 거시 세계는 시간 규모로 초, 분 등의 단위를 사용하고, 공간 규모로 미터, 천문단위 등의 단위를 사용한다."
과학의 기초,시간과 공간,원자 운동과 태양계 행성의 운동을 설명하는 방식은 서로 다르다. (O / X),O,X,,,,①,OX형,SUB,TRUE,FALSE,FALSE,FALSE,FALSE,개념 호출,2,"원자 운동과 태양계 행성의 운동을 설명하는 방식이 서로 다르며, 천체를 관측하는 도구인 우주 망원경으로는 원자 규모의 현상을 관찰할 수 없다."
과학의 기초,시간과 공간,"거시세계를 관측하는 도구로는 ( ㉠ )의 현상을 관찰할 수 없다.
㉠으로 적절한 것은?",은하,태양계 행성,원자,,,③,단답형,SUB,TRUE,FALSE,FALSE,FALSE,FALSE,개념 적용,3,"원자 운동과 태양계 행성의 운동을 설명하는 방식이 서로 다르며, 천체를 관측하는 도구인 우주 망원경으로는 원자 규모의 현상을 관찰할 수 없다."
과학의 기초,시간과 공간,초시계로 빛이 두 지점 사이를 이동하는 데 걸리는 시간을 측정할 수 있다. (O / X),O,X,,,,②,OX형,SUB,FALSE,TRUE,FALSE,FALSE,FALSE,개념 호출,2,"초시계로 100m를 달리는 데 걸리는 시간은 측정할 수 있지만, 빛이 두 지점 사이를 이동하는 데 걸리는 시간이나 암석이 풍화되는 데 걸리는 시간을 측정하기는 어렵다. 마찬가지로 30cm 자로 우리가 사용하는 필기도구의 길이는 측정할 수 있지만, 미생물의 크기나 지구에서 달까지의 거리를 측정하기는 어렵다."
과학의 기초,시간과 공간,미생물의 크기를 측정하는 도구로 지구에서 달까지의 거리를 측정하기 어렵다. (O / X),O,X,,,,①,OX형,SUB,FALSE,TRUE,FALSE,FALSE,FALSE,개념 호출,2,"초시계로 100m를 달리는 데 걸리는 시간은 측정할 수 있지만, 빛이 두 지점 사이를 이동하는 데 걸리는 시간이나 암석이 풍화되는 데 걸리는 시간을 측정하기는 어렵다. 마찬가지로 30cm 자로 우리가 사용하는 필기도구의 길이는 측정할 수 있지만, 미생물의 크기나 지구에서 달까지의 거리를 측정하기는 어렵다."
과학의 기초,시간과 공간,"자연을 ( ㉠ )와/과 ( ㉡ )을/를 배경으로 기술하면 자연 현상을 더 잘 이해할 수 있다.
㉠과 ㉡으로 적절한 것은?","㉠ 기능, ㉡ 구조","㉠ 속도, ㉡ 방향","㉠ 시간, ㉡ 공간",,,③,단답형,SUB,FALSE,FALSE,FALSE,FALSE,TRUE,개념 호출,3,"자연을 시간과 공간을 배경으로 기술하면 자연 현상을 더 잘 이해할 수 있고, 앞으로 일어날 변화를 예측할 수도 있다."
과학의 기초,시간과 공간,"자연을 ( ㉠ )와/과 ( ㉡ )을/를 배경으로 기술하면 앞으로 일어날 변화를 예측할 수도 있다.
㉠과 ㉡으로 적절한 것은?","㉠ 가속도, ㉡ 힘","㉠ 시간, ㉡ 공간","㉠ 기능, ㉡ 구조",,,②,단답형,SUB,FALSE,FALSE,FALSE,FALSE,TRUE,개념 호출,3,"자연을 시간과 공간을 배경으로 기술하면 자연 현상을 더 잘 이해할 수 있고, 앞으로 일어날 변화를 예측할 수도 있다."
과학의 기초,시간과 공간,탐구 대상의 규모에 따른 차이를 이해하는 것은 자연 현상을 탐구하는 데 매우 중요하다. (O / X),O,X,,,,①,OX형,SUB,TRUE,TRUE,FALSE,FALSE,FALSE,개념 호출,2,탐구 대상의 규모에 따른 차이를 이해하는 것은 자연 현상을 탐구하는 데 매우 중요하다.
과학의 기초,시간과 공간,자연세계의 규모를 고려해 관찰하고 측정하는 것은 과학의 중요한 기초가 된다. (O / X),O,X,,,,①,OX형,SUB,TRUE,TRUE,FALSE,FALSE,FALSE,개념 변형,2,탐구 대상의 규모에 따른 차이를 이해하는 것은 자연 현상을 탐구하는 데 매우 중요하다.
과학의 기초,시간과 공간,"사람들은 다양한 시간 및 공간 ( ㉠ )의 자연 세계를 자신이 경험한 범위에서 설명하기 시작하였다.
㉠으로 적절한 것은?",구조,변화,규모,형태,,③,단답형,SUB,FALSE,FALSE,TRUE,TRUE,FALSE,개념 변형,4,인간은 미시 세계와 거시 세계에서의 측정 범위를 넓히며 자연 현상을 좀 더 정확하게 설명할 수 있게 되었다
과학의 기초,시간과 공간,인간은 미시 세계와 거시 세계에서의 측정 범위를 넓히며 자연 현상을 좀 더 정확하게 설명할 수 있게 되었다. (O / X),O,X,,,,①,OX형,SUB,FALSE,FALSE,TRUE,TRUE,FALSE,개념 호출,2,인간은 미시 세계와 거시 세계에서의 측정 범위를 넓히며 자연 현상을 좀 더 정확하게 설명할 수 있게 되었다
,,,,,,,,,,,,,,,,,0,#REF!
과학의 기초,시간과 공간,"물체의 운동을 설명할 때 ( ㉠ )에 따라 이동한 ( ㉡ )을/를 측정하는 방법을 알아야 한다.
㉠과 ㉡으로 적절한 것은?","㉠ 공간, ㉡ 거리","㉠ 시간, ㉡ 거리","㉠ 공간, ㉡ 방향","㉠ 공간, ㉡ 방향",,②,단답형,SUB,TRUE,FALSE,FALSE,TRUE,FALSE,개념 적용,4,"태양이 언제 뜨는지, 하루 동안 그림자의 길이는 어떻게 변하는지, 물체는 어떻게 운동하는지를 설명하려면 먼저 길이와 시간을 측정하는 방법을 알아야한다."
과학의 기초,시간과 공간,자연을 탐구할 때는 측정이 기본이 된다. (O / X),O,X,,,,①,OX형,SUB,TRUE,FALSE,FALSE,TRUE,FALSE,개념 변형,2,"태양이 언제 뜨는지, 하루 동안 그림자의 길이는 어떻게 변하는지, 물체는 어떻게 운동하는지를 설명하려면 먼저 길이와 시간을 측정하는 방법을 알아야한다."
과학의 기초,시간과 공간,정밀한 길이 측정은 정확한 시간을 측정할 수 있는 기술이 있기에 가능하다. (O / X),O,X,,,,①,단답형,MAIN,TRUE,TRUE,TRUE,TRUE,TRUE,개념 변형,2,"과학자들은 대상의 규모를 생각하며 대상을 종합적으로 이해하고, 규모를 고려하여 대상에 맞는 연구 방법을 정하기도 한다. 과학자들은 미시 세계부터 거시 세계까지 다양한 규모의 시간과 공간을 더 정밀하게 측정하기 위해 노력하였고, 그 결과 과학 기술의 발전으로 시간과 길이를 측정하는 방법이 더 다양해졌다."
과학의 기초,시간과 공간,현대의 기초 과학 기술의 발전으로 위성 위치 확인 시스템(GPS) 또는 전자 현미경 등을 이용하여 눈으로 볼 수 없는 움직임이나 물체의 크기까지도 측정할 수 있게 되었다. (O / X),O,X,,,,①,OX형,MAIN,TRUE,TRUE,TRUE,TRUE,TRUE,개념 변형,2,"과학자들은 대상의 규모를 생각하며 대상을 종합적으로 이해하고, 규모를 고려하여 대상에 맞는 연구 방법을 정하기도 한다. 과학자들은 미시 세계부터 거시 세계까지 다양한 규모의 시간과 공간을 더 정밀하게 측정하기 위해 노력하였고, 그 결과 과학 기술의 발전으로 시간과 길이를 측정하는 방법이 더 다양해졌다."
과학의 기초,시간과 공간,과학 기술의 발전으로 현대에는 미시세계의 시간 측정까지도 가능하게 되었다. (O / X),O,X,,,,①,OX형,MAIN,TRUE,TRUE,TRUE,TRUE,TRUE,개념 변형,2,"과학자들은 대상의 규모를 생각하며 대상을 종합적으로 이해하고, 규모를 고려하여 대상에 맞는 연구 방법을 정하기도 한다. 과학자들은 미시 세계부터 거시 세계까지 다양한 규모의 시간과 공간을 더 정밀하게 측정하기 위해 노력하였고, 그 결과 과학 기술의 발전으로 시간과 길이를 측정하는 방법이 더 다양해졌다."
과학의 기초,시간과 공간,과거에 시간을 측정하거나 표현하는 방법에 대한 설명으로 적절하지 않은 것은?,태양의 위치 변화로 시간을 나타냈다.,달의 모양 변화로 시간을 나타냈다.,주로 미시세계의 시간 측정을 하였다.,변화의 규칙성을 이용한 도구를 이용하여 측정하였다.,,③,서술형,MAIN,TRUE,TRUE,TRUE,TRUE,FALSE,개념 호출,4,"과거에는 태양의 위치나 달의 모양 변화, 물의 규칙성, 지구의 자전/공전 주기 등 관측 가능한 규칙성을 이용해 시간을 측정하였다."
과학의 기초,시간과 공간,과거에 시간을 측정하던 방법으로 적절하지 않은 것은?,자전 주기 또는 공전 주기를 이용한 시계,세슘과 같은 원자 시계,태양의 위치 변화에 의한 시계,달의 모양 변화에 따른 시계,,②,단답형,MAIN,TRUE,TRUE,TRUE,TRUE,FALSE,개념 적용,4,"과거에는 태양의 위치나 달의 모양 변화, 물의 규칙성, 지구의 자전/공전 주기 등 관측 가능한 규칙성을 이용해 시간을 측정하였다."
과학의 기초,시간과 공간,과거에는 시간을 측정할 때 시계와 같이 변화의 규칙성을 이용한 측정 도구를 이용하였다. (O / X),O,X,,,,①,OX형,MAIN,TRUE,TRUE,TRUE,TRUE,FALSE,개념 호출,2,"과거에는 태양의 위치나 달의 모양 변화, 물의 규칙성, 지구의 자전/공전 주기 등 관측 가능한 규칙성을 이용해 시간을 측정하였다."
과학의 기초,시간과 공간,"조선시대에는 앙부일구를 이용해 ( ㉠ )의 위치 변화에 따른 그림자의 길이로 시간을 측정했다.
㉠으로 적절한 것은?",태양,달,지구,,,①,단답형,SUB,FALSE,TRUE,TRUE,FALSE,FALSE,개념 호출,3,조선시대에는 앙부일구를 이용해 태양의 위치 변화에 따른 그림자의 길이로 시간을 측정했다.
과학의 기초,시간과 공간,우리 선조들은 천체의 주기적인 현상을 이용하여 앙부일구와 같은 도구로 미시세계의 시간을 측정하였다. (O / X),O,X,,,,②,OX형,SUB,FALSE,TRUE,TRUE,FALSE,FALSE,개념 변형,2,조선시대에는 앙부일구를 이용해 태양의 위치 변화에 따른 그림자의 길이로 시간을 측정했다.
과학의 기초,시간과 공간,"조선시대에는 ( ㉠ )의 규칙성을 이용한 자격루로 시간을 측정했다.
㉠으로 적절한 것은?",해,달,물,별,바람,③,단답형,SUB,FALSE,FALSE,FALSE,TRUE,FALSE,개념 호출,5,조선시대에는 물의 규칙성을 이용한 자격루로 시간을 측정했다.
과학의 기초,시간과 공간,"조선시대에는 물의 규칙성을 이용한 ( ㉠ )으로 시간을 측정했다.
㉠으로 적절한 것은?",앙부일구,자격루,진자 시계,세슘 원자시계,,②,단답형,SUB,FALSE,FALSE,FALSE,TRUE,FALSE,개념 호출,4,조선시대에는 물의 규칙성을 이용한 자격루로 시간을 측정했다.
과학의 기초,시간과 공간,현대적인 공간 측정 기술이 없던 시대에는 눈으로 보이는 움직임이나 물체의 크기에 대한 측정만 가능하였다. (O / X),O,X,,,,①,OX형,MAIN,TRUE,TRUE,TRUE,FALSE,FALSE,개념 호출,2,"과거에는 손가락 마디의 길이, 발걸음 폭, 일정한 길이의 막대 등 인간의 눈으로 관측 가능한 범위에서 기준을 세워 길이를 측정하였다."
과학의 기초,시간과 공간,현대적인 공간 측정 기술이 없던 시대에도 눈으로 볼 수 없는 범위에 대한 측정이 가능하였다. (O / X),O,X,,,,②,OX형,MAIN,TRUE,TRUE,TRUE,FALSE,FALSE,개념 변형,2,"과거에는 손가락 마디의 길이, 발걸음 폭, 일정한 길이의 막대 등 인간의 눈으로 관측 가능한 범위에서 기준을 세워 길이를 측정하였다."
과학의 기초,시간과 공간,우주처럼 큰 규모에서는 연주 시차 등을 이용하여 거리를 구할 수 있다. (O / X),O,X,,,,①,OX형,SUB,FALSE,FALSE,FALSE,TRUE,FALSE,개념 호출,2,"우주처럼 큰 규모에서는 연주 시차, 별의 밝기 등을 이용하여 거리를 구할 수 있다."
과학의 기초,시간과 공간,"우주처럼 큰 규모에서는 연주 시차 등을 이용하여 ( ㉠ )을/를 구할 수 있다.
㉠으로 적절한 것은?",시간,거리,방향,힘,,②,단답형,SUB,FALSE,FALSE,FALSE,TRUE,FALSE,개념 호출,4,"우주처럼 큰 규모에서는 연주 시차, 별의 밝기 등을 이용하여 거리를 구할 수 있다."
과학의 기초,시간과 공간,"어느 천체의 연주 시차를 알아내고 ( ㉠ )의 닮음을 이용하면 지구에서부터 천체까지의 거리를 구할 수 있다.
㉠으로 적절한 것은?",정사각형,직사각형,직각삼각형,이등변삼각형,,③,단답형,SUB,FALSE,FALSE,FALSE,TRUE,FALSE,개념 호출,4,"어느 천체의 연주 시차를 알아내고 직각삼각형의 닮음을 이용하면 지구에서부터 천체까지의 거리를 구할 수 있지만, 이 방법은 비교적 가까운 천체만 적용할 수 있다."
과학의 기초,시간과 공간,연주 시차를 이용한 거리 계산은 지구와 먼 천체에도 적용할 수 있다. (O / X),O,X,,,,②,OX형,SUB,FALSE,FALSE,FALSE,TRUE,FALSE,개념 호출,2,"어느 천체의 연주 시차를 알아내고 직각삼각형의 닮음을 이용하면 지구에서부터 천체까지의 거리를 구할 수 있지만, 이 방법은 비교적 가까운 천체만 적용할 수 있다."
과학의 기초,시간과 공간,다음 중 과학 기술의 발전에 의한 오늘날의 거리 측정에 대해 적절하지 않은 것은?,은하까지의 거리를 측정할 때 별의 밝기를 이용한다.,빛의 밝기는 거리의 제곱에 비례한다.,미시세계부터 거시세계까지 다양한 규모의 시간과 공간을 정밀하게 측정하기 위해 노력한다.,과학이 발달하며 자연 현상의 시간과 길이를 측정하는 방법이 다양해졌다.,,②,서술형,SUB,FALSE,FALSE,FALSE,TRUE,FALSE,개념 호출,4,지구에서 아주 먼 곳에 있는 은하까지의 거리를 측정할 때에는 주로 별의 밝기를 이용한다. 빛의 밝기는 거리의 제곱에 반비례하므로 별의 실제 밝기(절대 밝기)와 겉보기 밝기를 비교해서 실제 밝기의 기준이 되는 거리보다 멀거나 가까운 정도를 알 수 있다
과학의 기초,시간과 공간,"별의 실제 밝기인 ( ㉠ )밝기와 ( ㉡ ) 밝기를 비교해서 실제 밝기의 기준이 되는 거리보다 멀거나 가까운 정도를 알 수 있다.
㉠과 ㉡으로 적절한 것은?","㉠ 상대, ㉡ 겉보기","㉠ 상대, ㉡ 절대","㉠ 절대, ㉡ 겉보기","㉠ 절대, ㉡ 상대",,③,단답형,SUB,FALSE,FALSE,FALSE,TRUE,FALSE,개념 호출,4,지구에서 아주 먼 곳에 있는 은하까지의 거리를 측정할 때에는 주로 별의 밝기를 이용한다. 빛의 밝기는 거리의 제곱에 반비례하므로 별의 실제 밝기(절대 밝기)와 겉보기 밝기를 비교해서 실제 밝기의 기준이 되는 거리보다 멀거나 가까운 정도를 알 수 있다
과학의 기초,시간과 공간,멀리 있는 물체까지의 거리를 측정하려면 정확한 관측 정보가 필요하다. (O / X),O,X,,,,①,OX형,SUB,FALSE,FALSE,FALSE,TRUE,FALSE,개념 호출,2,멀리 있는 물체까지의 거리를 측정하려면 정확한 관측 정보가 필요하므로 관측 도구가 매우 중요하다.
과학의 기초,시간과 공간,멀리 있는 물체까지의 거리를 측정하려면 정확한 관측 도구가 중요하다. (O / X),O,X,,,,①,OX형,SUB,FALSE,FALSE,FALSE,TRUE,FALSE,개념 호출,2,멀리 있는 물체까지의 거리를 측정하려면 정확한 관측 정보가 필요하므로 관측 도구가 매우 중요하다.
과학의 기초,시간과 공간,원자나 분자처럼 작은 규모의 시간은 일상적인 변화의 규칙성을 이용한 측정 도구를 이용하여 측정할 수 있다. (O / X),O,X,,,,②,OX형,SUB,FALSE,FALSE,FALSE,TRUE,FALSE,개념 변형,2,시간의 규모가 너무 작거나 크면 기존의 방법으로 측정하기 어렵다.
과학의 기초,시간과 공간,천체와 우주처럼 큰 규모의 시간은 일상적인 변화의 규칙성을 이용한 측정 도구를 이용하여 측정할 수 있다. (O / X),O,X,,,,②,OX형,SUB,FALSE,FALSE,FALSE,TRUE,FALSE,개념 변형,2,시간의 규모가 너무 작거나 크면 기존의 방법으로 측정하기 어렵다.
과학의 기초,시간과 공간,"( ㉠ )세계 규모에서의 정밀한 시간 측정은 ( ㉡ ) 원자에서 나오는 빛의 진동수를 이용한 원자 시계를 이용하며 가능해졌다.
㉠과 ㉡으로 적절한 것은?","㉠ 거시, ㉡ 칼슘","㉠ 거시, ㉡ 세슘","㉠ 미시, ㉡ 칼슘","㉠ 미시, ㉡ 세슘",,④,단답형,MAIN,TRUE,TRUE,TRUE,TRUE,FALSE,개념 호출,4,몇백만 분의 1초 규모의 정밀한 시간 측정은 세슘 원자에서 나오는 빛의 진동수를 이용한 세슘 원자 시계를 이용하며 가능해졌다.
